Title,Category,Description,Price,InStock
Smartphone X,Electronics,,499.99,Yes
Wireless Headphones,Electronics,High-quality wireless headphones with noise cancellation,149.99,Yes
Cotton T-Shirt,Clothing,,19.99,Yes
Running Shoes,Footwear,Comfortable shoes designed for long-distance running,89.99,No
Coffee Maker,Kitchen,,59.99,Yes
Protein Powder,Supplements,High-quality whey protein for muscle recovery,29.99,Yes
Yoga Mat,Fitness,,24.99,No
Desk Lamp,Home,,34.99,Yes
Backpack,Accessories,Durable backpack with multiple compartments for storage,49.99,Yes
Water Bottle,Fitness,,14.99,Yes 
